символ,кількість,частота
то,4910,0.016418
но,3478,0.011630
ст,3338,0.011162
по,3316,0.011088
на,3306,0.011055
ал,3238,0.010827
не,3183,0.010643
ов,3176,0.010620
ко,3162,0.010573
ро,2896,0.009684
ла,2763,0.009239
го,2730,0.009129
от,2692,0.009002
ен,2681,0.008965
он,2676,0.008948
ос,2633,0.008804
ра,2627,0.008784
ни,2584,0.008640
ка,2536,0.008480
ер,2499,0.008356
ли,2467,0.008249
ан,2382,0.007965
во,2381,0.007962
ор,2373,0.007935
ло,2356,0.007878
ил,2330,0.007791
ол,2330,0.007791
ва,2284,0.007637
ом,2277,0.007614
пр,2251,0.007527
ел,2194,0.007336
ет,2135,0.007139
ат,2112,0.007062
те,2092,0.006995
ре,2055,0.006872
ри,2053,0.006865
ве,2045,0.006838
та,2025,0.006771
ес,2024,0.006768
ас,1992,0.006661
за,1933,0.006464
ак,1867,0.006243
од,1832,0.006126
ар,1718,0.005745
ог,1678,0.005611
ив,1667,0.005574
ин,1663,0.005561
ле,1655,0.005534
ит,1653,0.005527
аз,1645,0.005501
ис,1607,0.005374
ть,1594,0.005330
ем,1520,0.005083
ав,1505,0.005032
да,1469,0.004912
ск,1446,0.004835
ти,1396,0.004668
об,1382,0.004621
ам,1381,0.004618
де,1377,0.004604
ну,1369,0.004578
ев,1357,0.004538
ся,1356,0.004534
ви,1347,0.004504
че,1347,0.004504
нн,1320,0.004414
ой,1309,0.004377
ма,1307,0.004370
ик,1268,0.004240
ок,1257,0.004203
ль,1248,0.004173
оп,1230,0.004113
ми,1219,0.004076
сь,1215,0.004063
ед,1206,0.004033
ег,1204,0.004026
мо,1194,0.003993
до,1191,0.003982
ки,1143,0.003822
ме,1135,0.003795
ны,1110,0.003712
еп,1089,0.003641
же,1087,0.003635
чт,1086,0.003631
им,1067,0.003568
тр,1066,0.003565
се,1043,0.003488
ап,1030,0.003444
ад,1012,0.003384
бы,1011,0.003381
вс,999,0.003340
со,985,0.003294
из,973,0.003254
вы,942,0.003150
тв,914,0.003056
лс,914,0.003056
сл,906,0.003030
ру,901,0.003013
оч,882,0.002949
эт,835,0.002792
ая,826,0.002762
кр,818,0.002735
ку,811,0.002712
ча,806,0.002695
ьн,805,0.002692
бе,797,0.002665
ул,791,0.002645
ич,787,0.002632
га,784,0.002622
оз,768,0.002568
ту,763,0.002551
ип,758,0.002535
ди,756,0.002528
дн,754,0.002521
ек,750,0.002508
пе,750,0.002508
ше,739,0.002471
си,735,0.002458
ид,730,0.002441
ое,717,0.002398
уд,712,0.002381
ез,710,0.002374
бо,708,0.002367
мн,695,0.002324
му,695,0.002324
сп,695,0.002324
ыл,685,0.002291
ож,678,0.002267
ут,674,0.002254
ши,673,0.002250
хо,672,0.002247
ый,665,0.002224
ои,661,0.002210
ей,659,0.002204
ие,643,0.002150
тн,640,0.002140
ус,636,0.002127
оо,622,0.002080
са,605,0.002023
св,597,0.001996
ий,583,0.001949
еб,580,0.001939
па,570,0.001906
чи,570,0.001906
ят,569,0.001903
яс,565,0.001889
гл,564,0.001886
аи,557,0.001863
их,553,0.001849
ьс,553,0.001849
яв,552,0.001846
ян,541,0.001809
ду,533,0.001782
еч,529,0.001769
ьк,525,0.001756
зн,523,0.001749
ее,522,0.001745
ио,519,0.001735
ня,515,0.001722
ир,514,0.001719
ии,510,0.001705
ым,509,0.001702
лу,499,0.001669
ты,492,0.001645
ае,491,0.001642
ув,491,0.001642
аг,489,0.001635
ля,489,0.001635
жа,484,0.001618
вн,474,0.001585
ач,473,0.001582
аж,471,0.001575
ры,469,0.001568
уп,466,0.001558
гр,460,0.001538
ун,457,0.001528
ук,456,0.001525
уж,450,0.001505
ыв,448,0.001498
тс,447,0.001495
ще,444,0.001485
ах,442,0.001478
лн,438,0.001465
еи,437,0.001461
зв,437,0.001461
сн,435,0.001455
бу,427,0.001428
ум,426,0.001424
йс,424,0.001418
аб,423,0.001414
иб,423,0.001414
ия,421,0.001408
пи,419,0.001401
жи,414,0.001384
ео,411,0.001374
сс,403,0.001348
рн,401,0.001341
ур,389,0.001301
ьв,387,0.001294
кв,383,0.001281
ша,380,0.001271
ря,380,0.001271
тк,379,0.001267
уг,377,0.001261
дв,376,0.001257
щи,375,0.001254
др,374,0.001251
бр,371,0.001241
рг,368,0.001231
ыс,367,0.001227
ьп,362,0.001210
кн,360,0.001204
мс,359,0.001200
ке,353,0.001180
ую,352,0.001177
уч,352,0.001177
ял,351,0.001174
ао,350,0.001170
вп,345,0.001154
ые,345,0.001154
ба,344,0.001150
мп,343,0.001147
лв,341,0.001140
вш,341,0.001140
иц,339,0.001134
иг,339,0.001134
йн,338,0.001130
гд,337,0.001127
нд,337,0.001127
яп,336,0.001124
ье,331,0.001107
лк,329,0.001100
нт,326,0.001090
рт,325,0.001087
нь,324,0.001083
лп,324,0.001083
вк,319,0.001067
йп,319,0.001067
еж,317,0.001060
вр,315,0.001053
пл,314,0.001050
яд,314,0.001050
уб,313,0.001047
су,312,0.001043
ых,311,0.001040
кт,309,0.001033
це,307,0.001027
аш,306,0.001023
ух,306,0.001023
кл,304,0.001017
зд,303,0.001013
ош,302,0.001010
ьи,299,0.001000
лы,295,0.000986
оя,294,0.000983
вт,286,0.000956
еш,285,0.000953
чн,282,0.000943
як,282,0.000943
мв,280,0.000936
аю,279,0.000933
вл,274,0.000916
яи,274,0.000916
ыт,273,0.000913
нс,272,0.000910
ву,271,0.000906
пу,268,0.000896
жд,268,0.000896
зо,258,0.000863
йт,255,0.000853
ьт,253,0.000846
би,252,0.000843
йк,252,0.000843
уи,249,0.000833
