символ,кількість,частота
то,9704,0.016224
но,7071,0.011822
ст,6689,0.011183
на,6560,0.010968
по,6522,0.010904
ов,6474,0.010824
ал,6391,0.010685
не,6289,0.010515
ко,6135,0.010257
ро,5709,0.009545
ла,5508,0.009209
ен,5442,0.009099
го,5434,0.009085
ра,5387,0.009007
ос,5374,0.008985
от,5345,0.008936
он,5306,0.008871
ни,5188,0.008674
ка,5089,0.008508
ер,4901,0.008194
ли,4895,0.008184
ан,4890,0.008176
во,4766,0.007968
ло,4719,0.007890
ор,4719,0.007890
ол,4681,0.007826
пр,4619,0.007723
ил,4568,0.007637
ом,4559,0.007622
ва,4523,0.007562
ел,4443,0.007428
ет,4246,0.007099
ри,4158,0.006952
те,4153,0.006943
ат,4110,0.006872
ве,4073,0.006810
ас,4055,0.006780
та,4055,0.006780
ре,3999,0.006686
ес,3969,0.006636
за,3913,0.006542
ак,3813,0.006375
од,3707,0.006198
ит,3449,0.005766
ог,3416,0.005711
ар,3394,0.005674
ин,3382,0.005654
ле,3371,0.005636
ив,3338,0.005581
ис,3226,0.005394
ть,3223,0.005389
аз,3117,0.005211
ем,3099,0.005181
ав,3032,0.005069
да,3010,0.005032
ск,2957,0.004944
об,2823,0.004720
ну,2771,0.004633
де,2763,0.004619
ам,2746,0.004591
ти,2742,0.004584
ой,2711,0.004533
че,2695,0.004506
ся,2686,0.004491
ви,2664,0.004454
ев,2651,0.004432
ма,2620,0.004380
ок,2542,0.004250
ик,2529,0.004228
ль,2490,0.004163
нн,2477,0.004141
оп,2463,0.004118
сь,2436,0.004073
мо,2419,0.004044
ед,2393,0.004001
ми,2383,0.003984
ег,2365,0.003954
до,2353,0.003934
ки,2290,0.003829
ме,2284,0.003819
ны,2271,0.003797
чт,2183,0.003650
им,2180,0.003645
еп,2165,0.003620
се,2127,0.003556
же,2115,0.003536
тр,2112,0.003531
ап,2055,0.003436
ад,2032,0.003397
вс,1987,0.003322
из,1962,0.003280
бы,1949,0.003259
со,1945,0.003252
лс,1859,0.003108
вы,1855,0.003101
оч,1804,0.003016
ру,1802,0.003013
сл,1791,0.002994
тв,1780,0.002976
эт,1715,0.002867
бе,1650,0.002759
ая,1627,0.002720
ку,1621,0.002710
ул,1616,0.002702
ча,1607,0.002687
ьн,1599,0.002673
кр,1562,0.002612
ип,1541,0.002576
ек,1538,0.002571
ич,1531,0.002560
га,1531,0.002560
пе,1510,0.002525
ту,1507,0.002520
дн,1506,0.002518
оз,1491,0.002493
ди,1477,0.002469
ид,1472,0.002461
ше,1463,0.002446
уд,1443,0.002413
ез,1403,0.002346
бо,1398,0.002337
ое,1396,0.002334
ыл,1394,0.002331
ут,1379,0.002306
хо,1376,0.002301
си,1374,0.002297
сп,1370,0.002291
ие,1367,0.002286
ож,1367,0.002286
мн,1365,0.002282
му,1353,0.002262
ои,1326,0.002217
ей,1322,0.002210
ши,1288,0.002153
тн,1279,0.002138
ый,1267,0.002118
оо,1243,0.002078
св,1230,0.002056
ус,1225,0.002048
са,1217,0.002035
еб,1188,0.001986
па,1186,0.001983
ят,1167,0.001951
ий,1152,0.001926
яв,1141,0.001908
яс,1129,0.001888
ян,1128,0.001886
чи,1120,0.001873
аи,1103,0.001844
зн,1101,0.001841
ьс,1091,0.001824
их,1090,0.001822
гл,1085,0.001814
еч,1074,0.001796
ее,1072,0.001792
ду,1059,0.001771
ир,1054,0.001762
ае,1045,0.001747
ио,1036,0.001732
лу,1032,0.001725
ьк,1031,0.001724
ня,1013,0.001694
ии,1006,0.001682
ты,1001,0.001674
ув,997,0.001667
аг,991,0.001657
ым,984,0.001645
ля,980,0.001638
вн,951,0.001590
ры,949,0.001587
ач,944,0.001578
жа,937,0.001567
ук,933,0.001560
гр,925,0.001547
уп,918,0.001535
ун,912,0.001525
тс,901,0.001506
пи,897,0.001500
аж,894,0.001495
уж,894,0.001495
ще,887,0.001483
зв,883,0.001476
еи,878,0.001468
бу,872,0.001458
ыв,871,0.001456
ах,868,0.001451
ум,860,0.001438
сн,851,0.001423
аб,851,0.001423
лн,848,0.001418
иб,840,0.001404
йс,835,0.001396
жи,817,0.001366
ео,815,0.001363
сс,811,0.001356
ия,810,0.001354
ьв,796,0.001331
рн,791,0.001322
ур,778,0.001301
бр,762,0.001274
кн,760,0.001271
тк,759,0.001269
уг,744,0.001244
рг,739,0.001236
ыс,737,0.001232
ря,736,0.001231
дв,733,0.001226
щи,732,0.001224
ша,727,0.001215
мс,723,0.001209
др,722,0.001207
ао,714,0.001194
иц,712,0.001190
ую,707,0.001182
вш,705,0.001179
ье,702,0.001174
кв,701,0.001172
иг,692,0.001157
уч,692,0.001157
ые,691,0.001155
рт,689,0.001152
лв,688,0.001150
лк,687,0.001149
яп,685,0.001145
ял,685,0.001145
нт,680,0.001137
ба,680,0.001137
вк,679,0.001135
еж,673,0.001125
нд,671,0.001122
мп,668,0.001117
зд,667,0.001115
йн,661,0.001105
вп,658,0.001100
аш,658,0.001100
ке,657,0.001098
гд,656,0.001097
нь,654,0.001093
вр,652,0.001090
ьп,647,0.001082
кт,637,0.001065
пл,637,0.001065
йп,635,0.001062
ош,633,0.001058
ых,627,0.001048
кл,620,0.001037
ух,619,0.001035
лп,615,0.001028
яд,611,0.001022
лы,610,0.001020
вт,605,0.001012
чн,596,0.000996
це,594,0.000993
уб,593,0.000991
су,589,0.000985
як,584,0.000976
нс,580,0.000970
оя,575,0.000961
пу,568,0.000950
вл,556,0.000930
мв,555,0.000928
яи,551,0.000921
еш,550,0.000920
ьи,549,0.000918
ву,538,0.000899
аю,528,0.000883
зо,524,0.000876
ыт,524,0.000876
ьт,520,0.000869
жд,518,0.000866
уш,515,0.000861
уи,507,0.000848
йк,502,0.000839
мы,496,0.000829
см,493,0.000824
йв,488,0.000816
би,486,0.000813
йт,486,0.000813
ги,486,0.000813
лю,483,0.000808
ьо,478,0.000799
жн,476,0.000796
тп,466,0.000779
еу,459,0.000767
зе,458,0.000766
ца,453,0.000757
ха,450,0.000752
рв,446,0.000746
ох,446,0.000746
иш,443,0.000741
рь,443,0.000741
оу,434,0.000726
ещ,421,0.000704
тч,421,0.000704
ям,420,0.000702
мя,416,0.000696
йи,413,0.000690
ай,411,0.000687
ьм,411,0.000687
бл,404,0.000675
иу,397,0.000664
хн,395,0.000660
ау,394,0.000659
зи,393,0.000657
кс,392,0.000655
хи,391,0.000654
ех,390,0.000652
ын,389,0.000650
вз,388,0.000649
яз,376,0.000629
вв,373,0.000624
дь,373,0.000624
ыш,372,0.000622
ып,372,0.000622
чк,365,0.000610
мк,363,0.000607
яо,362,0.000605
вд,362,0.000605
лл,362,0.000605
тя,362,0.000605
чу,360,0.000602
фе,358,0.000599
гу,357,0.000597
дс,353,0.000590
ге,347,0.000580
ды,346,0.000578
лт,342,0.000572
ющ,340,0.000568
вь,339,0.000567
рк,338,0.000565
лч,332,0.000555
ьч,331,0.000553
оэ,330,0.000552
дл,326,0.000545
рш,323,0.000540
зу,319,0.000533
ща,316,0.000528
иа,314,0.000525
шл,308,0.000515
йд,306,0.000512
гн,303,0.000507
уз,303,0.000507
нп,301,0.000503
дя,301,0.000503
мч,297,0.000497
яч,296,0.000495
лб,295,0.000493
юс,294,0.000492
хв,290,0.000485
дк,290,0.000485
ою,289,0.000483
ьд,287,0.000480
ыб,286,0.000478
йм,286,0.000478
нк,286,0.000478
йч,285,0.000476
вм,282,0.000471
аа,282,0.000471
мг,280,0.000468
шн,278,0.000465
шк,278,0.000465
сч,277,0.000463
шу,276,0.000461
ют,276,0.000461
йо,275,0.000460
ык,275,0.000460
зы,272,0.000455
пя,271,0.000453
оф,269,0.000450
ящ,268,0.000448
еа,267,0.000446
иж,265,0.000443
хп,265,0.000443
зл,263,0.000440
ьз,263,0.000440
яб,263,0.000440
кп,262,0.000438
ащ,260,0.000435
йг,257,0.000430
ья,257,0.000430
нв,256,0.000428
лг,254,0.000425
вг,254,0.000425
ьш,254,0.000425
яг,252,0.000421
мл,250,0.000418
ец,246,0.000411
сд,241,0.000403
фи,240,0.000401
шь,239,0.000400
тл,238,0.000398
ыр,237,0.000396
бя,237,0.000396
йб,236,0.000395
уо,236,0.000395
пы,235,0.000393
ью,234,0.000391
зг,233,0.000390
мт,231,0.000386
ци,229,0.000383
зм,229,0.000383
бн,229,0.000383
сы,228,0.000381
ыи,228,0.000381
лм,224,0.000375
кб,224,0.000375
юд,224,0.000375
тд,223,0.000373
нц,219,0.000366
вя,219,0.000366
рд,218,0.000364
хс,217,0.000363
зр,217,0.000363
ьб,217,0.000363
мб,214,0.000358
тт,213,0.000356
мм,213,0.000356
ея,212,0.000354
аэ,209,0.000349
вч,206,0.000344
йр,205,0.000343
цо,204,0.000341
хр,201,0.000336
юв,198,0.000331
зк,198,0.000331
рл,197,0.000329
фа,195,0.000326
яр,194,0.000324
мд,193,0.000323
дт,193,0.000323
ху,192,0.000321
лд,192,0.000321
уа,188,0.000314
рс,187,0.000313
аф,185,0.000309
кк,185,0.000309
юп,185,0.000309
вэ,184,0.000308
пн,183,0.000306
хл,182,0.000304
уе,182,0.000304
чь,181,0.000303
мр,181,0.000303
оа,181,0.000303
ущ,180,0.000301
дп,180,0.000301
рю,179,0.000299
еэ,179,0.000299
фо,179,0.000299
йш,178,0.000298
ьг,178,0.000298
ыч,177,0.000296
ию,176,0.000294
юн,175,0.000293
шо,174,0.000291
лж,173,0.000289
яу,171,0.000286
хк,171,0.000286
рп,170,0.000284
лр,168,0.000281
рж,166,0.000278
ср,165,0.000276
вб,165,0.000276
ощ,165,0.000276
нч,164,0.000274
тб,162,0.000271
ыд,162,0.000271
юб,162,0.000271
рм,162,0.000271
яе,160,0.000268
юк,160,0.000268
тм,160,0.000268
уф,159,0.000266
рх,156,0.000261
рч,156,0.000261
зб,156,0.000261
юч,155,0.000259
ях,153,0.000256
мз,152,0.000254
ищ,152,0.000254
зя,152,0.000254
ыо,151,0.000252
дц,150,0.000251
яж,150,0.000251
сб,149,0.000249
ьу,146,0.000244
иэ,146,0.000244
зп,145,0.000242
ыз,143,0.000239
яа,142,0.000237
йз,141,0.000236
дм,140,0.000234
яя,140,0.000234
жу,137,0.000229
еф,135,0.000226
фр,135,0.000226
ыг,134,0.000224
лз,131,0.000219
ею,129,0.000216
кч,127,0.000212
юи,127,0.000212
хм,125,0.000209
йу,125,0.000209
нщ,125,0.000209
нз,125,0.000209
ьр,122,0.000204
дш,121,0.000202
йа,118,0.000197
бк,118,0.000197
цу,118,0.000197
зс,117,0.000196
нг,116,0.000194
тз,115,0.000192
жк,115,0.000192
км,115,0.000192
нб,115,0.000192
юм,114,0.000191
уу,114,0.000191
ъя,113,0.000189
ню,112,0.000187
ьа,112,0.000187
уя,111,0.000186
цы,111,0.000186
йл,110,0.000184
сх,110,0.000184
оц,109,0.000182
пт,109,0.000182
кж,108,0.000181
иф,108,0.000181
юо,107,0.000179
