символ,кількість,частота
о,66178,0.110644
а,51671,0.086389
е,48625,0.081297
и,40938,0.068445
н,38352,0.064121
т,36066,0.060299
л,31427,0.052543
с,30318,0.050689
р,28391,0.047467
в,28168,0.047094
к,21878,0.036578
у,17976,0.030054
м,17953,0.030016
п,17004,0.028429
д,16812,0.028108
г,11457,0.019155
я,11405,0.019068
з,10632,0.017776
ь,10626,0.017766
ы,10345,0.017296
ч,9511,0.015902
б,9263,0.015487
й,7011,0.011722
ж,5389,0.009010
ш,5222,0.008731
х,4922,0.008229
ю,3158,0.005280
щ,2116,0.003538
ц,1984,0.003317
э,1837,0.003071
ф,1292,0.002160
ъ,192,0.000321
