символ,кількість,частота
о ,7600,0.021346
а ,6358,0.017857
 п,6094,0.017116
 в,5800,0.016290
и ,5731,0.016096
е ,5728,0.016088
 н,5328,0.014965
 с,5243,0.014726
то,4777,0.013417
 и,3984,0.011190
но,3438,0.009656
 к,3425,0.009620
я ,3390,0.009521
 о,3378,0.009488
на,3352,0.009415
ь ,3316,0.009314
по,3286,0.009229
ст,3177,0.008923
не,3142,0.008825
ал,3067,0.008614
 т,3048,0.008561
ко,2964,0.008325
л ,2862,0.008038
й ,2852,0.008010
ро,2790,0.007836
го,2692,0.007561
ра,2666,0.007488
м ,2665,0.007485
ла,2629,0.007384
ка,2535,0.007120
в ,2532,0.007112
ни,2504,0.007033
ов,2497,0.007013
у ,2372,0.006662
 б,2343,0.006581
ер,2336,0.006561
пр,2279,0.006401
от,2262,0.006353
ли,2261,0.006350
во,2259,0.006345
ор,2245,0.006305
ен,2229,0.006261
ол,2228,0.006258
ил,2196,0.006168
ва,2167,0.006086
 м,2152,0.006044
ло,2152,0.006044
ел,2097,0.005890
та,2051,0.005761
ре,2030,0.005702
те,2025,0.005688
ри,2002,0.005623
ос,2002,0.005623
т ,1992,0.005595
ве,1992,0.005595
ом,1982,0.005567
за,1949,0.005474
 ч,1926,0.005409
 д,1908,0.005359
он,1896,0.005325
ан,1804,0.005067
ет,1798,0.005050
ат,1717,0.004822
 з,1633,0.004587
ть,1617,0.004542
 г,1604,0.004505
ог,1565,0.004396
ар,1548,0.004348
од,1548,0.004348
ле,1535,0.004311
к ,1527,0.004289
ак,1510,0.004241
ес,1461,0.004103
да,1460,0.004101
ас,1448,0.004067
 р,1423,0.003997
 у,1423,0.003997
ит,1418,0.003983
аз,1377,0.003868
ск,1374,0.003859
ы ,1373,0.003856
ой,1367,0.003839
де,1353,0.003800
ну,1334,0.003747
че,1329,0.003733
ем,1313,0.003688
ся,1305,0.003665
ма,1263,0.003547
ти,1243,0.003491
сь,1221,0.003429
ви,1218,0.003421
ль,1211,0.003401
н ,1207,0.003390
ны,1165,0.003272
ин,1150,0.003230
до,1111,0.003120
се,1102,0.003095
ам,1096,0.003078
ме,1092,0.003067
нн,1088,0.003056
ис,1078,0.003028
об,1065,0.002991
х ,1058,0.002972
 а,1041,0.002924
чт,1036,0.002910
ег,1034,0.002904
с ,1024,0.002876
мо,1022,0.002870
ки,1015,0.002851
тр,1013,0.002845
же,1009,0.002834
ед,993,0.002789
 л,993,0.002789
ив,989,0.002778
 е,980,0.002752
ми,971,0.002727
бы,957,0.002688
ю ,942,0.002646
ик,934,0.002623
ок,927,0.002604
со,918,0.002578
вы,909,0.002553
ав,878,0.002466
 э,876,0.002460
им,873,0.002452
ру,872,0.002449
сл,871,0.002446
эт,843,0.002368
бе,816,0.002292
ча,812,0.002281
ад,784,0.002202
га,783,0.002199
ку,778,0.002185
из,766,0.002151
ая,764,0.002146
ул,760,0.002135
ев,756,0.002123
ше,756,0.002123
ди,733,0.002059
пе,730,0.002050
ту,723,0.002031
кр,720,0.002022
вс,719,0.002019
лс,701,0.001969
бо,700,0.001966
ыл,687,0.001930
 ж,686,0.001927
дн,680,0.001910
уд,678,0.001904
тв,675,0.001896
си,652,0.001831
ши,644,0.001809
хо,643,0.001806
ей,640,0.001798
му,627,0.001761
ый,622,0.001747
са,615,0.001727
ий,603,0.001694
з ,601,0.001688
оч,592,0.001663
сп,589,0.001654
ие,578,0.001623
ич,577,0.001621
гл,559,0.001570
 я,559,0.001570
ож,554,0.001556
па,551,0.001548
ое,548,0.001539
ид,545,0.001531
ут,542,0.001522
чи,537,0.001508
р ,531,0.001491
св,531,0.001491
ду,531,0.001491
д ,519,0.001458
ек,517,0.001452
оз,517,0.001452
ня,512,0.001438
оп,506,0.001421
ез,506,0.001421
ты,498,0.001399
их,483,0.001357
ля,482,0.001354
зн,479,0.001345
ры,478,0.001343
жа,471,0.001323
ще,466,0.001309
ьн,461,0.001295
гр,459,0.001289
ее,459,0.001289
мн,453,0.001272
тн,447,0.001255
лу,447,0.001255
ым,437,0.001227
ус,436,0.001225
уж,431,0.001211
ят,430,0.001208
еп,419,0.001177
 х,418,0.001174
пи,415,0.001166
аж,407,0.001143
ир,402,0.001129
жи,402,0.001129
бу,395,0.001109
ах,390,0.001095
зв,386,0.001084
еч,382,0.001073
щи,380,0.001067
 ш,379,0.001064
ае,378,0.001062
др,376,0.001056
бр,373,0.001048
ша,360,0.001011
ря,357,0.001003
рг,352,0.000989
дв,344,0.000966
ия,342,0.000961
вш,342,0.000961
иц,340,0.000955
уг,339,0.000952
ур,336,0.000944
рт,336,0.000944
ук,335,0.000941
ую,333,0.000935
гд,331,0.000930
сс,330,0.000927
еб,330,0.000927
рн,328,0.000921
зд,326,0.000916
пл,324,0.000910
нь,323,0.000907
ые,323,0.000907
лы,322,0.000904
ьк,322,0.000904
ум,322,0.000904
ач,321,0.000902
ап,318,0.000893
вн,316,0.000888
аг,316,0.000888
сн,313,0.000879
ке,313,0.000879
ба,313,0.000879
ух,309,0.000868
кл,307,0.000862
ыв,299,0.000840
нд,298,0.000837
ял,295,0.000829
ых,292,0.000820
ье,288,0.000809
су,284,0.000798
пу,284,0.000798
еж,283,0.000795
тс,282,0.000792
нт,282,0.000792
аш,277,0.000778
це,270,0.000758
 ф,266,0.000747
чн,265,0.000744
уш,258,0.000725
аю,258,0.000725
ош,257,0.000722
тк,256,0.000719
кн,248,0.000697
ув,248,0.000697
мы,248,0.000697
лю,246,0.000691
зе,243,0.000683
ьс,243,0.000683
уб,243,0.000683
уч,242,0.000680
еш,240,0.000674
жд,235,0.000660
ыс,235,0.000660
яс,234,0.000657
би,229,0.000643
ца,229,0.000643
ву,228,0.000640
ои,227,0.000638
зо,226,0.000635
жн,226,0.000635
рь,225,0.000632
ги,224,0.000629
уп,221,0.000621
ай,218,0.000612
кт,214,0.000601
ха,211,0.000593
вл,207,0.000581
мя,207,0.000581
см,206,0.000579
вр,205,0.000576
иб,205,0.000576
бл,202,0.000567
ещ,202,0.000567
яд,201,0.000565
аб,199,0.000559
кв,197,0.000553
ч ,196,0.000550
ыт,189,0.000531
фе,188,0.000528
ян,186,0.000522
лн,182,0.000511
дь,182,0.000511
нс,181,0.000508
чк,180,0.000506
чу,180,0.000506
оя,176,0.000494
иг,175,0.000492
ун,174,0.000489
ии,172,0.000483
г ,171,0.000480
яв,170,0.000477
ющ,170,0.000477
ды,168,0.000472
рв,167,0.000469
зи,166,0.000466
ыш,166,0.000466
дя,164,0.000461
иш,163,0.000458
вь,162,0.000455
лл,160,0.000449
ох,160,0.000449
ге,160,0.000449
рш,158,0.000444
зу,155,0.000435
тя,153,0.000430
гу,151,0.000424
лк,150,0.000421
дл,148,0.000416
зы,147,0.000413
ща,147,0.000413
шн,144,0.000404
вз,144,0.000404
шу,143,0.000402
ио,142,0.000399
шл,142,0.000399
ою,139,0.000390
рк,133,0.000374
шк,133,0.000374
фи,131,0.000368
ех,131,0.000368
зл,130,0.000365
гн,129,0.000362
йс,128,0.000360
ец,128,0.000360
пя,124,0.000348
ям,123,0.000345
дс,123,0.000345
ью,123,0.000345
тч,120,0.000337
ащ,119,0.000334
сч,119,0.000334
ящ,119,0.000334
шь,118,0.000331
аи,116,0.000326
сы,115,0.000323
пы,114,0.000320
ц ,112,0.000315
нц,112,0.000315
йн,112,0.000315
ьш,111,0.000312
бн,110,0.000309
дк,109,0.000306
уз,109,0.000306
ип,108,0.000303
хн,106,0.000298
хи,106,0.000298
ци,105,0.000295
цо,100,0.000281
бя,100,0.000281
вт,98,0.000275
оф,98,0.000275
 ц,97,0.000272
рл,96,0.000270
зр,96,0.000270
иа,94,0.000264
рд,93,0.000261
чь,93,0.000261
вя,93,0.000261
иж,92,0.000258
мс,92,0.000258
зг,92,0.000258
йт,91,0.000256
ыб,91,0.000256
пн,91,0.000256
ию,91,0.000256
вд,91,0.000256
