символ,кількість,частота
о ,15225,0.021381
а ,12822,0.018006
 п,12089,0.016977
 в,11618,0.016316
и ,11556,0.016228
е ,11551,0.016221
 н,10906,0.015316
 с,10513,0.014764
то,9416,0.013223
 и,7886,0.011075
но,6913,0.009708
 о,6851,0.009621
 к,6851,0.009621
я ,6693,0.009399
ь ,6634,0.009316
ст,6572,0.009229
по,6520,0.009156
на,6506,0.009137
не,6259,0.008790
ал,6136,0.008617
 т,6083,0.008543
ко,5984,0.008404
й ,5760,0.008089
л ,5637,0.007916
ро,5635,0.007913
го,5411,0.007599
ра,5359,0.007526
м ,5319,0.007470
ла,5314,0.007463
ка,5034,0.007069
ни,4996,0.007016
ов,4920,0.006909
в ,4875,0.006846
у ,4749,0.006669
пр,4618,0.006485
ер,4606,0.006468
 б,4554,0.006395
во,4481,0.006293
ва,4474,0.006283
ен,4443,0.006239
ол,4437,0.006231
ли,4434,0.006227
ло,4416,0.006202
от,4402,0.006182
ор,4378,0.006148
ил,4363,0.006127
 м,4213,0.005916
ел,4212,0.005915
т ,4126,0.005794
те,4059,0.005700
ом,4024,0.005651
ве,3995,0.005610
ре,3987,0.005599
та,3965,0.005568
ри,3959,0.005560
ос,3955,0.005554
за,3887,0.005459
 д,3829,0.005377
он,3764,0.005286
 ч,3685,0.005175
ан,3613,0.005074
ет,3584,0.005033
ат,3435,0.004824
 з,3324,0.004668
ть,3223,0.004526
 г,3211,0.004509
од,3196,0.004488
ле,3164,0.004443
ар,3100,0.004353
ог,3079,0.004324
к ,3055,0.004290
ак,3024,0.004247
да,2979,0.004184
 у,2905,0.004080
ес,2888,0.004056
ит,2885,0.004052
ас,2862,0.004019
 р,2831,0.003976
ск,2767,0.003886
аз,2753,0.003866
де,2742,0.003851
ы ,2716,0.003814
ой,2711,0.003807
че,2694,0.003783
ся,2666,0.003744
ну,2654,0.003727
ем,2594,0.003643
ма,2546,0.003575
ви,2505,0.003518
ль,2490,0.003497
ти,2439,0.003425
сь,2436,0.003421
н ,2393,0.003361
до,2316,0.003252
ин,2299,0.003229
ны,2271,0.003189
ме,2211,0.003105
ам,2206,0.003098
нн,2205,0.003097
чт,2166,0.003042
об,2117,0.002973
же,2105,0.002956
х ,2097,0.002945
се,2096,0.002943
ег,2084,0.002927
 а,2079,0.002920
с ,2077,0.002917
мо,2065,0.002900
ис,2064,0.002899
ки,2052,0.002882
 л,2031,0.002852
тр,2028,0.002848
ед,1998,0.002806
ми,1994,0.002800
 е,1986,0.002789
ив,1963,0.002757
бы,1949,0.002737
ик,1902,0.002671
ю ,1872,0.002629
вы,1855,0.002605
со,1851,0.002599
ок,1811,0.002543
им,1800,0.002528
ру,1772,0.002488
сл,1755,0.002465
ав,1754,0.002463
эт,1715,0.002408
 э,1705,0.002394
бе,1648,0.002314
