символ,кількість,частота
 ,113963,0.160042
о,66178,0.092936
а,51671,0.072563
е,48625,0.068286
и,40938,0.057491
н,38352,0.053859
т,36066,0.050649
л,31427,0.044134
с,30318,0.042577
р,28391,0.039870
в,28168,0.039557
к,21878,0.030724
у,17976,0.025244
м,17953,0.025212
п,17004,0.023879
д,16812,0.023610
г,11457,0.016089
я,11405,0.016016
з,10632,0.014931
ь,10626,0.014922
ы,10345,0.014528
ч,9511,0.013357
б,9263,0.013008
й,7011,0.009846
ж,5389,0.007568
ш,5222,0.007333
х,4922,0.006912
ю,3158,0.004435
щ,2116,0.002972
ц,1984,0.002786
э,1837,0.002580
ф,1292,0.001814
ъ,192,0.000270
